,frame,x,y
891,105,2122,1302
892,105,2150,1296
893,105,1484,1273
894,105,2966,1270
895,105,1423,1258
896,105,1266,1250
897,105,2274,911
898,105,2101,877
899,106,2965,1787
900,106,2354,1441
901,106,2656,1379
902,106,2587,1349
903,106,2970,1276
904,106,1483,1273
905,106,1425,1259
906,106,1265,1251
907,106,2273,911
908,106,2103,878
909,107,2966,1787
910,107,2353,1440
911,107,2660,1381
912,107,2588,1351
913,107,2970,1276
914,107,1485,1272
915,107,1425,1260
916,107,1265,1251
917,107,2272,911
918,107,2105,878
919,108,2967,1786
920,108,2352,1440
921,108,2660,1380
922,108,2587,1351
923,108,1487,1272
924,108,1426,1260
925,108,1265,1251
926,108,2272,912
927,108,2108,879
928,109,2968,1785
929,109,2352,1439
930,109,2661,1381
931,109,2586,1349
932,109,1623,1316
933,109,2151,1295
934,109,1487,1271
935,109,1428,1260
936,109,1264,1253
937,109,2272,912
938,109,2108,879
939,110,2969,1784
940,110,2351,1439
941,110,2669,1385
942,110,2588,1350
943,110,1623,1316
944,110,2145,1296
945,110,2971,1279
946,110,1487,1271
947,110,1429,1260
948,110,1264,1255
949,110,2109,879
950,111,2968,1783
951,111,2838,1641
952,111,2349,1436
953,111,2671,1386
954,111,2589,1351
955,111,1624,1317
956,111,2971,1282
957,111,1488,1272
958,111,1429,1261
959,111,1265,1260
960,111,2111,880
961,112,2969,1782
962,112,2349,1436
963,112,2673,1387
964,112,2589,1351
965,112,2119,1304
966,112,2971,1281
967,112,1487,1272
968,112,1430,1261
969,112,1266,1266
970,112,2113,880
971,113,2969,1780
972,113,2349,1435
973,113,2674,1388
974,113,2589,1352
975,113,1487,1272
976,113,1266,1266
977,113,1431,1261
978,113,2115,880
979,114,2969,1778
980,114,2838,1641
981,114,2347,1435
982,114,2676,1390
983,114,2591,1352
984,114,1621,1318
985,114,2971,1289
986,114,1484,1272
987,114,1431,1260
988,114,1266,1268
989,114,2116,880
990,115,2970,1777
991,115,2837,1641
992,115,2346,1434
993,115,2677,1390
994,115,2600,1358
995,115,1621,1318
996,115,2118,1305
997,115,2971,1292
998,115,1484,1271
999,115,1431,1260
1000,115,1267,1269
1001,115,2116,879
1002,116,2970,1775
1003,116,2836,1641
1004,116,2344,1432
1005,116,2680,1392
1006,116,2602,1360
1007,116,2118,1304
1008,116,2972,1293
1009,116,1484,1271
1010,116,1432,1261
1011,116,1267,1270
1012,116,2110,878
1013,117,2972,1771
1014,117,2343,1431
1015,117,2679,1390
1016,117,2601,1361
1017,117,2972,1293
1018,117,1484,1271
1019,117,1433,1261
1020,117,1267,1271
1021,117,2110,879
1022,117,1468,650
1023,118,2975,1768
1024,118,2343,1428
1025,118,2681,1391
1026,118,2974,1293
1027,118,1486,1271
1028,118,1265,1264
1029,118,1432,1260
1030,118,2110,879
1031,118,1468,650
1032,119,2978,1766
1033,119,2342,1427
1034,119,2687,1396
1035,119,2973,1290
1036,119,1487,1271
1037,119,1431,1260
1038,119,2110,879
1039,119,1468,649
1040,120,2979,1764
1041,120,2834,1644
1042,120,2341,1426
1043,120,2688,1397
1044,120,2974,1291
1045,120,1489,1271
1046,120,1264,1264
1047,120,1432,1261
1048,120,2111,880
1049,121,2979,1764
1050,121,2834,1644
1051,121,2339,1423
1052,121,2689,1398
1053,121,2976,1293
1054,121,1485,1270
1055,121,1264,1267
1056,121,1433,1261
1057,121,2113,880
1058,122,2980,1763
1059,122,2337,1419
1060,122,2689,1398
1061,122,2972,1287
1062,122,1486,1269
1063,122,1269,1276
1064,122,1435,1262
1065,122,2116,880
1066,123,2981,1761
1067,123,2831,1647
1068,123,2336,1418
1069,123,2691,1400
1070,123,2972,1286
1071,123,1487,1270
1072,123,1270,1279
1073,123,1437,1263
1074,123,2118,881
1075,124,2982,1760
1076,124,2830,1648
1077,124,2336,1415
1078,124,2693,1401
1079,124,1282,1294
1080,124,2972,1286
1081,124,1488,1271
1082,124,1264,1263
1083,124,1439,1264
1084,124,2121,881
1085,125,2983,1760
1086,125,2336,1417
1087,125,2694,1402
1088,125,2972,1287
1089,125,1497,1270
1090,125,1270,1278
1091,125,1441,1266
1092,125,2130,882
1093,126,2984,1759
1094,126,2337,1418
1095,126,2696,1405
1096,126,2970,1280
1097,126,1499,1270
1098,126,1271,1278
1099,126,1442,1267
1100,126,2134,883
1101,127,2980,1763
1102,127,2335,1415
1103,127,2700,1409
1104,127,1508,1270
1105,127,1444,1269
1106,127,1271,1279
1107,127,2128,882
1108,128,2981,1762
1109,128,2334,1414
1110,128,2702,1411
1111,128,1620,1323
1112,128,2979,1305
1113,128,1510,1269
1114,128,1444,1270
1115,128,1272,1280
1116,128,2129,882
1117,129,2999,1746
1118,129,2334,1414
1119,129,2705,1415
1120,129,2603,1372
1121,129,1620,1323
1122,129,2980,1304
1123,129,1284,1297
1124,129,1512,1269
1125,129,1441,1268
1126,129,1261,1260
1127,129,2131,882
1128,130,2999,1746
1129,130,2710,1422
1130,130,2333,1406
1131,130,2606,1369
1132,130,1620,1323
1133,130,2977,1300
1134,130,1514,1268
1135,130,1439,1265
1136,130,2135,881
1137,131,2997,1747
1138,131,2711,1420
1139,131,2333,1405
1140,131,2605,1369
1141,131,1619,1325
1142,131,1279,1298
1143,131,2981,1305
1144,131,2970,1281
1145,131,1516,1269
1146,131,1441,1265
1147,131,2135,881
1148,132,2713,1422
1149,132,2333,1403
1150,132,1618,1325
1151,132,1280,1298
1152,132,2980,1302
1153,132,1510,1270
1154,132,1445,1270
1155,132,1594,1243
1156,132,99,989
1157,132,2136,881
1158,132,326,834
1159,132,47,193
1160,132,176,61
1161,132,520,35
1162,133,2818,1655
1163,133,2715,1423
1164,133,2332,1402
1165,133,2608,1369
1166,133,2980,1308
1167,133,1280,1299
1168,133,1506,1271
1169,133,1446,1269
1170,133,1594,1243
1171,133,341,1013
1172,133,98,988
1173,133,2136,881
1174,133,327,835
1175,133,155,830
1176,133,92,658
1177,133,518,318
1178,133,46,193
1179,133,319,87
1180,133,175,60
1181,133,520,35
1182,134,2818,1653
1183,134,2717,1423
1184,134,2332,1399
1185,134,2981,1304
1186,134,1279,1298
1187,134,1506,1271
1188,134,1447,1270
1189,134,1263,1259
1190,134,1594,1243
1191,134,2138,880
1192,135,2990,1753
1193,135,2818,1653
1194,135,2718,1424
1195,135,2333,1399
1196,135,1617,1324
1197,135,2983,1306
1198,135,1281,1297
1199,135,1507,1271
1200,135,1446,1270
1201,135,1594,1242
1202,135,2143,879
1203,136,2995,1750
1204,136,2817,1655
1205,136,2721,1427
1206,136,2330,1386
1207,136,2621,1367
1208,136,2983,1309
1209,136,1279,1299
1210,136,1505,1271
1211,136,1443,1264
1212,136,1595,1239
1213,136,2579,1207
1214,136,2135,880
1215,137,2996,1749
1216,137,2817,1655
1217,137,2723,1428
1218,137,2332,1394
1219,137,2622,1367
1220,137,2984,1310
1221,137,1284,1301
1222,137,1501,1271
1223,137,1447,1270
1224,137,1595,1240
1225,137,2579,1207
1226,137,2134,882
1227,138,2996,1749
1228,138,2816,1655
1229,138,2724,1430
1230,138,2331,1391
1231,138,2616,1367
1232,138,2985,1312
1233,138,1285,1302
1234,138,1504,1272
1235,138,1448,1271
1236,138,1595,1242
1237,138,1260,1206
1238,138,2579,1206
1239,138,2129,883
1240,139,3000,1746
1241,139,2725,1431
1242,139,2328,1385
1243,139,2619,1367
1244,139,1620,1323
1245,139,2987,1312
1246,139,1287,1301
1247,139,1504,1272
1248,139,1449,1271
1249,139,1595,1241
1250,139,1260,1206
1251,139,2579,1206
1252,139,2131,884
1253,140,2999,1748
1254,140,2814,1655
1255,140,2726,1431
1256,140,2328,1385
1257,140,2615,1366
1258,140,1620,1323
1259,140,2987,1312
1260,140,1287,1301
1261,140,1505,1271
1262,140,1450,1272
1263,140,1595,1240
1264,140,1260,1206
1265,140,2580,1206
1266,140,2139,885
1267,141,2999,1748
1268,141,2813,1656
1269,141,2727,1431
1270,141,2328,1380
1271,141,1620,1324
1272,141,2987,1312
1273,141,1506,1271
1274,141,1450,1274
1275,141,1596,1239
1276,141,2580,1205
1277,141,2141,885
1278,142,3001,1748
1279,142,2729,1433
1280,142,2327,1377
1281,142,1621,1324
1282,142,2987,1314
1283,142,1517,1271
1284,142,1449,1270
1285,142,1597,1238
1286,142,1260,1208
1287,142,2142,886
1288,143,3001,1747
1289,143,2734,1435
1290,143,2326,1373
1291,143,2626,1366
1292,143,1621,1324
1293,143,2987,1314
1294,143,1504,1271
1295,143,1450,1271
1296,143,1598,1238
1297,143,1261,1208
1298,143,2144,886
1299,144,3001,1746
1300,144,2736,1436
1301,144,2627,1367
1302,144,2325,1371
1303,144,1622,1324
1304,144,2987,1314
1305,144,1450,1270
1306,144,1597,1238
1307,144,1261,1209
1308,144,2264,910
1309,144,2145,886
1310,145,3005,1744
1311,145,2793,1673
1312,145,2739,1438
1313,145,2642,1371
1314,145,2324,1370
1315,145,2988,1313
1316,145,1507,1271
1317,145,1598,1237
1318,145,1262,1210
1319,145,2264,910
1320,145,2146,886
1321,146,3005,1744
1322,146,2792,1675
1323,146,2741,1439
1324,146,2644,1373
1325,146,2322,1367
1326,146,2988,1314
1327,146,1525,1269
1328,146,1599,1234
1329,146,1262,1210
1330,146,2264,910
1331,146,2147,886
1332,147,3007,1740
1333,147,2793,1673
1334,147,2743,1440
1335,147,2643,1372
1336,147,2322,1367
1337,147,2989,1319
1338,147,1531,1273
1339,147,1601,1232
1340,147,1263,1211
1341,147,2264,910
1342,147,2148,887
1343,148,3008,1737
1344,148,2748,1444
1345,148,2645,1373
1346,148,2604,1364
1347,148,2320,1365
1348,148,2990,1321
1349,148,1532,1273
1350,148,1604,1230
1351,148,1264,1214
1352,148,2264,910
1353,148,2148,886
1354,149,3005,1730
1355,149,2746,1444
1356,149,2648,1375
1357,149,2604,1364
1358,149,2319,1363
1359,149,2990,1321
1360,149,1531,1271
1361,149,1606,1228
1362,149,1265,1215
1363,149,2264,910
1364,149,2148,886
1365,150,3003,1723
1366,150,2792,1674
1367,150,2748,1445
1368,150,2648,1375
1369,150,2606,1364
1370,150,2315,1359
1371,150,2989,1317
1372,150,1453,1272
1373,150,1532,1271
1374,150,2463,1240
1375,150,1607,1226
1376,150,1266,1216
1377,150,2150,887
1378,151,3004,1721
1379,151,2789,1676
1380,151,2748,1445
